Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112735	30	12	12	100	44	50	16	18	17	51	60	62	37.32	17	58	3.424	1.776	4.206	2.59357479385862e-05	0.000663048145638048	0	0.2005	0.0882	0.0882	TRUE	NA
FBtr0083810	185	34	40	414	95	87	96	51	56	211	130	108	108.8	68	150	2.214	1.147	4.206	2.60411970959561e-05	0.000664783286904126	0	0.0858	0.0406	0.0406	TRUE	NA
FBtr0331425	71	43	31	163	100	112	37	64	44	83	137	139	84.06	48	120	2.451	1.293	4.181	2.90418014962588e-05	0.000736072364284117	0	0.1034	0.0537	0.0537	TRUE	NA
FBtr0310621	31	23	13	122	53	73	16	34	18	62	73	91	49.08	23	75	3.37	1.753	4.169	3.0597679681161e-05	0.000773290787484885	0.0163	0.1587	0.0971	0.0971	TRUE	NA
FBtr0073120	308	1259	1278	2475	2347	3060	159	1886	1800	1264	3223	3796	2021.44	1282	2761	3.001	1.585	4.162	3.14875377595225e-05	0.000792168624285338	0.2086	0.0291	0.1037	0.1037	TRUE	NA
FBtr0070239	756	161	205	1083	467	467	391	241	289	553	641	579	449.15	307	591	1.943	0.958	4.153	3.28113826104159e-05	0.000821027114230364	0.0312	0.0404	0.0356	0.0356	TRUE	NA
FBtr0113129	65	151	107	300	221	443	34	226	151	153	303	550	236.14	137	335	2.837	1.505	4.151	3.30341106543885e-05	0.000825432841224276	0.1283	0.0535	0.0883	0.0883	TRUE	NA
FBtr0085307	45	7	19	151	48	67	23	10	27	77	66	83	47.78	20	75	3.71	1.891	4.149	3.33581329144249e-05	0.000830012277621787	0.0313	0.1623	0.1155	0.1155	TRUE	NA
FBtr0072679	6159	2389	2555	8325	3724	4118	3187	3578	3599	4251	5114	5109	4139.83	3455	4825	1.393	0.478	4.136	3.53759399232671e-05	0.000878982799413649	4e-04	0.0275	0.0094	0.0094	TRUE	NA
FBtr0302548	237	87	49	643	144	209	123	130	69	328	198	259	184.56	107	262	2.427	1.279	4.134	3.56379333948607e-05	0.00088425060264864	0.0616	0.0612	0.0614	0.0614	TRUE	NA
FBtr0080979	966	338	376	1492	565	631	500	506	530	762	776	783	642.74	512	774	1.511	0.596	4.13	3.62350390994909e-05	0.000896551156236495	0	0.0361	0.0133	0.0133	TRUE	NA
FBtr0072141	2535	1012	1180	3653	1649	1937	1312	1516	1662	1865	2265	2403	1837.16	1497	2178	1.453	0.539	4.122	3.75449829978485e-05	0.000925081189714398	0.0012	0.0295	0.0117	0.0117	TRUE	NA
FBtr0086697	520	163	247	952	369	486	269	244	348	486	507	603	409.5	287	532	1.85	0.887	4.114	3.88915764094454e-05	0.000956927508010429	0.021	0.0418	0.0307	0.0307	TRUE	NA
FBtr0343606	350	312	361	633	733	583	181	467	509	323	1007	723	535.02	386	684	1.776	0.829	4.112	3.91626383212041e-05	0.000962258659083918	0.0182	0.0381	0.027	0.027	TRUE	NA
FBtr0330734	2700	1091	1306	5140	1759	2106	1397	1634	1840	2625	2416	2613	2087.37	1624	2551	1.581	0.66	4.104	4.05256508655378e-05	0.000992990705626357	0.0104	0.029	0.0181	0.0181	TRUE	NA
FBtr0273275	147	36	44	366	78	129	76	54	62	187	107	160	107.67	64	151	2.363	1.24	4.104	4.06039803796444e-05	0.000993533909953373	0.0218	0.0864	0.0532	0.0532	TRUE	NA
