Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0080775	626	442	258	313	166	166	324	662	363	160	228	206	323.86	450	198	0.44	-1.185	-3.22	0.00128048574749739	0.0313386208623279	0.0899	0.1027	0.0937	0.0937	TRUE	1.921
FBtr0070179	8594	3113	4033	4730	2235	2733	4448	4663	5681	2415	3069	3391	3944.46	4931	2958	0.6	-0.737	-3.219	0.00128465487005783	0.0313791509398807	0.0226	0.0898	0.0375	0.0375	TRUE	0.3164
FBtr0332944	138	51	53	60	32	31	71	76	75	31	44	38	55.92	74	38	0.499	-1.002	-3.211	0.0013215729902115	0.0321057811811208	0	0.1703	0.0494	0.0494	TRUE	0.3016
FBtr0332148	1954	700	759	972	431	617	1011	1048	1069	496	592	765	830.43	1043	618	0.591	-0.758	-3.208	0.00133715146893688	0.0324046204635133	0.0228	0.0941	0.0388	0.0388	TRUE	0.5106
FBtr0079042	482	113	150	259	69	63	249	169	211	132	95	78	155.86	210	102	0.487	-1.037	-3.207	0.00133916126531043	0.0324136034535053	0.0481	0.1179	0.0677	0.0677	TRUE	0.2941
FBtr0113220	476	217	255	330	132	152	246	325	359	169	181	189	244.82	310	180	0.58	-0.785	-3.202	0.0013663497969002	0.0329586556722641	0.019	0.1073	0.0387	0.0387	TRUE	0.4043
FBtr0305218	255	51	61	88	37	32	132	76	86	45	51	40	71.62	98	45	0.454	-1.14	-3.201	0.00136830666945935	0.0329586556722641	0.0449	0.1524	0.0747	0.0747	TRUE	1.0354
FBtr0332205	1578	538	295	593	273	207	817	806	416	303	375	257	495.43	680	312	0.458	-1.127	-3.201	0.00136985097283977	0.0329586556722641	0.0822	0.0979	0.0868	0.0868	TRUE	1.3357
FBtr0343268	92	41	65	50	19	24	48	61	92	26	26	30	47	67	27	0.409	-1.289	-3.198	0.00138600340229035	0.0332623996120044	0.0526	0.1858	0.0903	0.0903	TRUE	0.294
FBtr0082686	511	165	191	341	113	144	264	247	269	174	155	179	214.77	260	169	0.652	-0.618	-3.195	0.00139912347029888	0.033536565606255	0	0.1099	0.0219	0.0219	TRUE	0.0494
FBtr0300822	1301	720	712	988	357	446	673	1078	1003	505	490	553	717.13	918	516	0.563	-0.829	-3.194	0.00140160487573432	0.0335553709656732	0.032	0.095	0.0469	0.0469	TRUE	0.6695
FBtr0307027	134	48	56	73	31	28	69	72	79	37	43	35	55.79	73	38	0.521	-0.942	-3.194	0.00140535194663065	0.0336043950962771	0	0.1705	0.0423	0.0423	TRUE	0.0535
