Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0089512	409	100	114	840	258	243	212	150	161	429	354	301	267.79	174	361	2.068	1.048	3.845	0.000120509568041227	0.00452196718788476	0.0301	0.1057	0.0489	0.0489	TRUE	0.2345
FBtr0078289	566	183	189	828	378	364	293	274	266	423	519	452	371.13	278	465	1.665	0.735	3.841	0.000122451306170282	0.00456881996135344	0.0053	0.1009	0.0233	0.0233	TRUE	0.119
FBtr0081258	2348	726	862	3228	1401	1549	1215	1087	1214	1648	1924	1922	1501.81	1172	1831	1.56	0.642	3.828	0.000129292205495131	0.00478792764731502	0.0054	0.0917	0.0195	0.0195	TRUE	0.0944
FBtr0113379	5	2	2	77	14	10	3	3	3	39	19	12	13.23	3	23	8.771	3.133	3.825	0.000130644498211875	0.00482896252736418	0	0.434	0.2775	0.2775	TRUE	0.3462
FBtr0080846	556	177	169	1083	294	389	288	265	238	553	404	483	371.72	264	480	1.82	0.864	3.82	0.000133379608792422	0.00492086149975775	0.0151	0.1009	0.0336	0.0336	TRUE	0.1269
FBtr0088266	534	102	101	1309	322	353	276	153	142	668	442	438	353.33	190	516	2.695	1.43	3.819	0.000133914200517002	0.00493138419967172	0.0951	0.1016	0.0971	0.0971	TRUE	1.8172
FBtr0100508	13	9	5	56	28	28	7	13	7	29	38	35	21.51	9	34	3.885	1.958	3.807	0.000140467482158535	0.00516309379123613	0	0.301	0.1158	0.1158	TRUE	0.3742
FBtr0080358	198	59	69	384	113	153	102	88	97	196	155	190	138.19	96	180	1.876	0.907	3.801	0.000144347977166496	0.00528607638605087	0	0.1217	0.0326	0.0326	TRUE	0.1463
FBtr0078509	2321	844	818	3501	1340	1349	1201	1264	1152	1788	1840	1674	1486.53	1206	1767	1.466	0.552	3.797	0.000146173485561896	0.00534303267465158	0.0012	0.0917	0.0144	0.0144	TRUE	0.0255
FBtr0082057	27	16	9	76	52	51	14	24	13	39	71	63	37.35	17	58	3.462	1.792	3.793	0.000148747211828643	0.00541708308270978	0.0754	0.2109	0.1194	0.1194	TRUE	0.561
FBtr0346541	16	2	2	86	24	16	8	3	3	44	33	20	18.47	5	32	6.216	2.636	3.791	0.000149813686362566	0.00544589273496277	0.1659	0.3359	0.2328	0.2328	TRUE	0.2998
FBtr0114584	40	21	19	185	64	40	21	31	27	94	88	50	51.82	26	77	3.017	1.593	3.79	0.000150841475447169	0.00547319298526196	0.0657	0.1768	0.0998	0.0998	TRUE	0.8366
FBtr0345070	335	70	59	817	234	206	173	105	83	417	321	256	225.91	120	331	2.728	1.448	3.786	0.000152919999867925	0.00552832357840626	0.0981	0.1089	0.0992	0.0992	TRUE	0.4307
FBtr0072670	319	135	182	1052	291	305	165	202	256	537	400	378	323.15	208	438	2.124	1.087	3.772	0.000162258415165101	0.00583392756343614	0.0384	0.1028	0.0559	0.0559	TRUE	0.4703
FBtr0075707	24	16	11	66	68	82	12	24	15	34	93	102	46.78	17	76	4.47	2.16	3.763	0.000167813316454536	0.0059944561096948	0.2042	0.1863	0.1983	0.1983	TRUE	2.446
FBtr0112808	267	231	207	1255	657	527	138	346	292	641	902	654	495.45	259	732	2.845	1.508	3.763	0.000167704796123471	0.0059944561096948	0.1199	0.0979	0.1128	0.1128	TRUE	1.9947
FBtr0073424	42	19	12	103	78	49	22	28	17	53	107	61	47.93	22	74	3.269	1.709	3.756	0.000172892879394815	0.00613816281872976	0.0871	0.1839	0.1178	0.1178	TRUE	1.3189
FBtr0087232	1805	667	760	2758	1172	1357	934	999	1071	1408	1609	1684	1284.19	1001	1567	1.565	0.647	3.75	0.00017688221951692	0.00625732717521842	0.0062	0.0922	0.0205	0.0205	TRUE	0.0972
FBtr0086697	520	163	247	952	369	486	269	244	348	486	507	603	409.5	287	532	1.854	0.89	3.73	0.00019168033704368	0.00674462395914371	0.0189	0.0998	0.0381	0.0381	TRUE	0.3637
FBtr0077088	495	164	199	835	288	328	256	246	280	426	396	407	335.16	261	410	1.574	0.655	3.728	0.000192648747949077	0.00676665895327353	0	0.1023	0.0188	0.0188	TRUE	0.0433
FBtr0086474	76	18	17	177	47	68	39	27	24	90	65	84	54.92	30	80	2.589	1.373	3.713	0.000204502252149189	0.00713233163359826	0.0313	0.1718	0.0747	0.0747	TRUE	0.7083
FBtr0078271	261	95	76	485	151	206	135	142	107	248	207	256	182.5	128	237	1.847	0.885	3.713	0.000205030035747581	0.00713814957202186	0.0075	0.1137	0.0345	0.0345	TRUE	0.184
