Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0261553	3118	1097	1045	2300	908	1025	1568	1716	1489	1175	1271	1255	1412.28	1591	1234	0.775	-0.368	-3.245	0.00117637737479522	0.016504051442354	0.0024	0.0148	0.0085	0.0085	TRUE	0.0539
FBgn0033362	235	117	123	148	76	67	118	183	175	76	106	82	123.41	159	88	0.555	-0.85	-3.235	0.00121785052469541	0.017000891689943	0.0384	0.0417	0.0403	0.0403	TRUE	0.6346
FBgn0004606	41331	13046	10828	26391	10232	11481	20790	20405	15432	13477	14324	14053	16413.29	18876	13951	0.739	-0.436	-3.23	0.0012394292233578	0.0172753828999083	0.0129	0.0124	0.0131	0.0131	TRUE	0.3111
FBgn0014033	14234	3848	4580	10256	3714	4183	7160	6018	6527	5237	5199	5120	5877.03	6568	5185	0.789	-0.342	-3.228	0.00124611094106722	0.017314989933042	0.0036	0.0128	0.0079	0.0079	TRUE	0.0766
FBgn0037539	1344	425	442	891	350	433	676	665	630	455	490	530	574.28	657	492	0.745	-0.424	-3.228	0.00124847627835122	0.0173211678125713	0.0023	0.0185	0.0105	0.0105	TRUE	0.0562
FBgn0053503	737	228	287	576	183	182	371	357	409	294	256	223	318.24	379	258	0.685	-0.545	-3.225	0.00125834283064003	0.0174312375525527	0.009	0.0236	0.0171	0.0171	TRUE	0.1962
FBgn0002773	100	31	56	48	13	26	50	48	80	25	18	32	42.19	59	25	0.422	-1.245	-3.224	0.00126605953788236	0.017511234528563	0.0435	0.0985	0.0782	0.0782	TRUE	0.6508
FBgn0031055	5846	2340	2783	3792	1800	2286	2941	3660	3966	1936	2520	2798	2970.17	3522	2418	0.686	-0.543	-3.222	0.00127457278871278	0.0176019868432035	0.0272	0.0134	0.0201	0.0201	TRUE	0.375
FBgn0036257	2472	746	819	1771	647	804	1243	1167	1167	904	906	984	1061.94	1192	931	0.779	-0.359	-3.208	0.00133464329384833	0.0183193504169319	0.0011	0.0156	0.008	0.008	TRUE	0.0284
FBgn0029095	8052	3389	3630	5654	2565	3141	4050	5301	5173	2887	3591	3845	4141.13	4841	3441	0.711	-0.493	-3.197	0.00138776801981739	0.0188477289197489	0.0201	0.0131	0.0168	0.0168	TRUE	0.252
FBgn0034894	1204	464	397	882	315	391	606	726	566	450	441	479	544.52	633	457	0.723	-0.467	-3.196	0.0013955845241353	0.018896968826805	0.0068	0.0189	0.0134	0.0134	TRUE	0.1824
FBgn0266377	14177	5070	4667	9347	4217	4670	7131	7930	6651	4773	5903	5716	6350.8	7237	5464	0.755	-0.406	-3.194	0.00140518862990428	0.0189700465037078	0.0099	0.0128	0.0115	0.0115	TRUE	0.151
FBgn0033649	1764	506	415	1173	305	357	887	791	591	599	427	437	622.19	756	488	0.646	-0.631	-3.19	0.00142043558959895	0.0191472169611411	0.037	0.018	0.0264	0.0264	TRUE	0.4203
FBgn0010222	1087	420	496	725	318	408	547	657	707	370	445	499	537.56	637	438	0.688	-0.54	-3.173	0.00150964543039975	0.020228800135728	0.0186	0.019	0.0188	0.0188	TRUE	0.2357
FBgn0029768	823	79	232	161	60	21	414	124	331	82	84	26	176.68	290	64	0.221	-2.177	-3.166	0.00154663396864863	0.0206630298211457	0.3306	0.0328	0.1278	0.3306	TRUE	0.2833
FBgn0003575	2071	711	716	1482	623	668	1042	1112	1020	757	872	818	936.79	1058	816	0.769	-0.378	-3.153	0.00161587413223127	0.0214293425359729	0.0025	0.0161	0.0092	0.0092	TRUE	0.0509
FBgn0000139	1524	416	551	1055	384	468	767	651	785	539	538	573	641.94	734	550	0.747	-0.421	-3.15	0.00163355994355762	0.0216003571422326	0.0036	0.0179	0.0112	0.0112	TRUE	0.1089
FBgn0250869	1066	338	364	809	288	296	536	529	519	413	403	362	460.37	528	393	0.745	-0.424	-3.149	0.00163839144513443	0.0216325242345861	0	0.0201	0.0107	0.0107	TRUE	0.0514
FBgn0032785	574	156	169	383	102	133	289	244	241	196	143	163	212.46	258	167	0.651	-0.62	-3.147	0.00165051615088152	0.0217607524103063	0.0143	0.0293	0.0228	0.0228	TRUE	0.2755
FBgn0037718	5905	1692	2072	4251	1654	1905	2970	2646	2953	2171	2315	2332	2564.6	2856	2273	0.795	-0.332	-3.141	0.0016829903126286	0.0221565060427514	0.0022	0.0136	0.0076	0.0076	TRUE	0.0492
FBgn0266758	9357	3047	3401	7504	2827	3263	4707	4766	4847	3832	3958	3994	4350.46	4773	3928	0.823	-0.281	-3.137	0.00170442450006381	0.022405976882763	0	0.013	0.0055	0.0055	TRUE	0.0057
FBgn0016754	2107	693	636	1448	570	641	1060	1084	906	739	798	785	895.35	1017	774	0.76	-0.397	-3.136	0.00171169561770248	0.0224688079773522	0.0041	0.0163	0.0103	0.0103	TRUE	0.1032
FBgn0086370	2763	905	969	2007	818	927	1390	1415	1381	1025	1145	1135	1248.49	1395	1102	0.788	-0.344	-3.127	0.00176789116695196	0.0230721310326669	0.0015	0.0151	0.0078	0.0078	TRUE	0.0476
FBgn0037445	3539	1085	993	2610	854	855	1780	1697	1415	1333	1196	1047	1411.2	1631	1192	0.731	-0.452	-3.125	0.00177734958935955	0.0230953005718219	0.013	0.0148	0.0143	0.0143	TRUE	0.1591
FBgn0025366	16636	4162	5743	12043	3682	4823	8368	6510	8185	6150	5154	5903	6711.68	7688	5736	0.746	-0.423	-3.122	0.00179434230968906	0.0232157517199081	0.0127	0.0127	0.013	0.013	TRUE	0.2181
FBgn0041183	361	115	127	244	82	97	182	180	181	125	115	119	150.1	181	120	0.663	-0.594	-3.123	0.00179306487208755	0.0232157517199081	0	0.0365	0.0188	0.0188	TRUE	0.0187
FBgn0031012	2095	719	809	1457	611	751	1054	1125	1153	744	855	919	974.99	1111	839	0.755	-0.406	-3.122	0.00179833230359538	0.0232340411372824	0.0061	0.0159	0.011	0.011	TRUE	0.127
FBgn0260936	6205	2023	1989	4396	1801	2012	3121	3164	2835	2245	2521	2463	2724.78	3040	2410	0.792	-0.337	-3.107	0.00188790779638754	0.024286950795753	0.003	0.0135	0.0081	0.0081	TRUE	0.0448
FBgn0015903	1419	435	416	997	345	406	714	680	593	509	483	497	579.34	662	496	0.748	-0.418	-3.103	0.00191508038170968	0.0245664223076214	0.0036	0.0185	0.0112	0.0112	TRUE	0.0961
FBgn0025683	9358	3031	3454	7808	2795	3233	4707	4741	4923	3987	3913	3957	4371.25	4790	3952	0.825	-0.277	-3.091	0.00199235061763922	0.0254490338100149	0	0.013	0.0055	0.0055	TRUE	0.0071
FBgn0031170	2294	759	706	1733	629	642	1154	1187	1006	885	881	786	983.09	1116	851	0.762	-0.391	-3.09	0.00199857760922375	0.0254924651767748	0.0043	0.0159	0.0104	0.0104	TRUE	0.0849
