Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0032140	3418	1164	1269	5049	1680	2075	1719	1821	1809	2578	2352	2540	2136.39	1783	2490	1.399	0.484	4.731	2.23534627967236e-06	7.57652561512873e-05	0.0013	0.0139	0.007	0.007	TRUE	0.028
FBgn0262794	1603	435	561	3787	869	978	806	680	800	1934	1217	1197	1105.61	762	1449	1.904	0.929	4.727	2.27379349479801e-06	7.6511454239136e-05	0.0448	0.0155	0.0267	0.0267	TRUE	1.0491
FBgn0000146	2605	827	981	3831	1341	1475	1310	1293	1398	1956	1877	1805	1606.82	1334	1879	1.411	0.496	4.715	2.41260312309465e-06	7.99884373678954e-05	0.0011	0.0145	0.0073	0.0073	TRUE	0.0204
FBgn0003041	2591	895	958	3733	1383	1499	1303	1400	1365	1906	1936	1835	1624.26	1356	1892	1.397	0.483	4.716	2.4080560170563e-06	7.99884373678954e-05	5e-04	0.0144	0.0069	0.0069	TRUE	0.015
FBgn0029147	1329	494	600	2141	965	1026	668	773	855	1093	1351	1256	999.38	765	1233	1.614	0.691	4.718	2.38617145550871e-06	7.99884373678954e-05	0.0125	0.0158	0.0143	0.0143	TRUE	0.1578
FBgn0261278	2236	712	858	3171	1165	1326	1125	1114	1223	1619	1631	1623	1389.06	1154	1624	1.409	0.495	4.693	2.6865826589842e-06	8.71496489881996e-05	1e-04	0.0148	0.0072	0.0072	TRUE	0.0315
FBgn0011016	2844	872	1097	4363	1447	1656	1431	1364	1563	2228	2026	2027	1773.08	1453	2094	1.443	0.529	4.689	2.74830889083694e-06	8.85465578668633e-05	0.0031	0.0142	0.0085	0.0085	TRUE	0.0514
FBgn0031888	4537	1567	1709	6326	2291	2817	2282	2451	2436	3230	3207	3448	2842.38	2390	3295	1.38	0.465	4.679	2.88463343324518e-06	9.25751754484165e-05	0.0013	0.0135	0.0067	0.0067	TRUE	0.0198
FBgn0003074	3138	1153	1246	4447	2179	2319	1578	1803	1776	2271	3050	2838	2219.55	1719	2720	1.582	0.662	4.678	2.89740752507841e-06	9.26553938338903e-05	0.0128	0.0138	0.0139	0.0139	TRUE	0.2582
FBgn0031307	2698	986	1163	4009	1808	2194	1357	1542	1657	2047	2531	2685	1970.08	1519	2421	1.595	0.673	4.673	2.96962300703564e-06	9.46291882595315e-05	0.0136	0.014	0.0144	0.0144	TRUE	0.2265
